year_birth,male_population,female_population,population
1910,0,1,1
1911,0,1,1
1912,2,1,3
1913,0,1,1
1914,1,1,2
1915,0,10,10
1916,1,4,5
1917,4,17,21
1918,4,23,27
1919,10,77,87
1920,32,146,178
1921,54,307,361
1922,99,546,645
1923,228,908,1136
1924,351,1363,1714
1925,577,1868,2445
1926,900,2819,3719
1927,1351,3827,5178
1928,1997,5153,7150
1929,2736,6707,9443
1930,3927,9191,13118
1931,4914,10901,15815
1932,6071,13346,19417
1933,7207,14730,21937
1934,8415,16597,25012
1935,9700,18427,28127
1936,10988,20405,31393
1937,12556,22279,34835
1938,14865,25293,40158
1939,17135,28031,45166
1940,21371,33230,54601
1941,23169,35388,58557
1942,25912,38362,64274
1943,30983,44811,75794
1944,33442,47726,81168
1945,33217,46677,79894
1946,43966,58705,102671
1947,47631,61743,109374
1948,47667,59852,107519
1949,47309,58893,106202
1950,49793,60852,110645
1951,51483,62307,113790
1952,52464,62003,114467
1953,52906,60721,113627
1954,53089,60435,113524
1955,53477,60015,113492
1956,53294,59009,112303
1957,51700,56211,107911
1958,48350,52347,100697
1959,45391,47797,93188
1960,46081,47771,93852
1961,46838,48694,95532
1962,47924,49368,97292
1963,53966,54678,108644
1964,56302,56114,112416
1965,53648,53592,107240
1966,51745,51338,103083
1967,51253,50329,101582
1968,50871,50477,101348
1969,53775,52804,106579
1970,56067,55326,111393
1971,58602,57225,115827
1972,61775,60681,122456
1973,68613,65985,134598
1974,72455,70993,143448
1975,71327,70166,141493
1976,69443,68379,137822
1977,67394,66053,133447
1978,65911,64183,130094
1979,63030,61720,124750
1980,56793,55021,111814
1981,52493,51596,104089
1982,50574,50473,101047
1983,49437,48532,97969
1984,48806,47753,96559
1985,48316,47242,95558
1986,47531,46039,93570
1987,46665,44941,91606
1988,46808,45217,92025
1989,45402,43445,88847
1990,46165,43871,90036
1991,45662,42928,88590
1992,43013,40438,83451
1993,42763,40497,83260
1994,38504,36534,75038
1995,35504,33569,69073
1996,33654,32268,65922
1997,33906,32645,66551
1998,33860,32592,66452
1999,33698,32440,66138
2000,34764,33678,68442
2001,34633,34132,68765
2002,35180,34723,69903
2003,34547,34245,68792
2004,32909,32565,65474
2005,32262,31867,64129
2006,30444,29370,59814
2007,28828,27542,56370
2008,27650,25905,53555
2009,22375,21570,43945
2010,8792,8201,16993
2011,5813,5526,11339
2012,4849,4667,9516
2013,3823,3502,7325
2014,3406,3104,6510
2015,2666,2593,5259
2016,2121,1999,4120
2017,244,226,470
2018,29,29,58
2019,15,15,30
2020,19,14,33
2021,15,12,27
2022,17,9,26
2023,2,6,8
